Number,Name,Place of Revelation,Ayah_Number
1,Al-Alaq,Meccan,19
2,Al-Qalam,Meccan,52
3,Al-Muzzammil,Meccan,20
4,Al-Muddaththir,Meccan,56
5,Al-Faatiha,Meccan,7
6,Al-Masad,Meccan,5
7,At-Takwir,Meccan,29
8,Al-Alaa,Meccan,19
9,Al-Lail,Meccan,21
10,Al-Fajr,Meccan,30
11,Ad-Dhuhaa,Meccan,11
12,Ash-Sharh,Meccan,8
13,Al-Asr,Meccan,3
14,Al-Aadiyaat,Meccan,11
15,Al-Kawthar,Meccan,3
16,At-Takaathur,Meccan,8
17,Al-Maaun,Meccan,7
18,Al-Kaafiroon,Meccan,6
19,Al-Fil,Meccan,5
20,Al-Falaq,Meccan,5
21,An-Naas,Meccan,6
22,Al-Ikhlaas,Meccan,4
23,An-Najm,Meccan,62
24,Abasa,Meccan,42
25,Al-Qadr,Meccan,5
26,Ash-Shams,Meccan,15
27,Al-Burooj,Meccan,22
28,At-Tin,Meccan,8
29,Quraish,Meccan,4
30,Al-Qaari'a,Meccan,11
31,Al-Qiyaama,Meccan,40
32,Al-Humaza,Meccan,9
33,Al-Mursalaat,Meccan,50
34,Qaaf,Meccan,45
35,Al-Balad,Meccan,20
36,At-Taariq,Meccan,17
37,Al-Qamar,Meccan,55
38,Saad,Meccan,88
39,Al-Araaf,Meccan,206
40,Al-Jinn,Meccan,28
41,Yaseen,Meccan,83
42,Al-Furqaan,Meccan,77
43,Faatir,Meccan,45
44,Maryam,Meccan,98
45,Taa-Haa,Meccan,135
46,Al-Waaqia,Meccan,96
47,Ash-Shuaraa,Meccan,227
48,An-Naml,Meccan,93
49,Al-Qasas,Meccan,88
50,Al-Israa,Meccan,111
51,Yunus,Meccan,109
52,Hud,Meccan,123
53,Yusuf,Meccan,111
54,Al-Hijr,Meccan,99
55,Al-Anaam,Meccan,165
56,As-Saaffaat,Meccan,182
57,Luqman,Meccan,34
58,Saba,Meccan,54
59,Az-Zumar,Meccan,75
60,Al-Ghaafir,Meccan,85
61,Fussilat,Meccan,54
62,Ash-Shura,Meccan,53
63,Az-Zukhruf,Meccan,89
64,Ad-Dukhaan,Meccan,59
65,Al-Jaathiya,Meccan,37
66,Al-Ahqaf,Meccan,35
67,Adh-Dhaariyat,Meccan,60
68,Al-Ghaashiya,Meccan,26
69,Al-Kahf,Meccan,110
70,An-Nahl,Meccan,128
71,Nooh,Meccan,28
72,Ibrahim,Meccan,52
73,Al-Anbiyaa,Meccan,112
74,Al-Muminoon,Meccan,118
75,As-Sajda,Meccan,30
76,At-Tur,Meccan,49
77,Al-Mulk,Meccan,30
78,Al-Haaqqa,Meccan,52
79,Al-Maarij,Meccan,44
80,An-Naba,Meccan,40
81,An-Naazi'aat,Meccan,46
82,Al-Infitaar,Meccan,19
83,Al-Inshiqaaq,Meccan,25
84,Ar-Room,Meccan,60
85,Al-Ankaboot,Meccan,85
86,Al-Mutaffifin,Meccan,36
87,Al-Baqara,Medinan,286
88,Al-Anfaal,Medinan,75
89,Aal-i-Imraan,Medinan,200
90,Al-Ahzaab,Medinan,73
91,Al-Mumtahana,Medinan,13
92,An-Nisaa,Medinan,176
93,Az-Zalzala,Medinan,8
94,Al-Hadid,Medinan,29
95,Muhammad,Medinan,38
96,Ar-Rad,Medinan,43
97,Ar-Rahmaan,Medinan,78
98,Al-Insaan,Medinan,31
99,At-Talaaq,Medinan,12
100,Al-Bayyina,Medinan,8
101,Al-Hashr,Medinan,24
102,An-Noor,Medinan,64
103,Al-Hajj,Medinan,78
104,Al-Munaafiqoon,Medinan,11
105,Al-Mujaadila,Medinan,22
106,Al-Hujuraat,Medinan,18
107,At-Tahrim,Medinan,12
108,At-Taghaabun,Medinan,18
109,As-Saff,Medinan,14
110,Al-Jumu'a,Medinan,11
111,Al-Fath,Medinan,29
112,Al-Maaida,Medinan,120
113,At-Tawba,Medinan,129
114,An-Nasr,Medinan,3
